Group,Values,len
212,short wallet,12
212,coin pouches,12
110,elastic band,12
22,board shorts,12
219,travel totes,12
175,kitchen jars,12
263,water shower,12
122,phone bumper,12
137,baby singlet,12
20,nipple cover,12
20,silicone bra,12
128,brake fluids,12
131,watch clasps,12
107,sleeping bag,12
107,camping tent,12
263,water cooler,12
263,water heater,12
107,fishing reel,12
209,paper cutter,12
122,phone holder,12
174,drying racks,12
210,lycra fabric,12
132,hybrid watch,12
208,tape measure,12
206,water crayon,12
133,vape battery,12
26,punjabi suit,12
269,home theater,12
131,watch straps,12
171,office table,12
99,darts fights,12
67,sanitary pad,12
49,skiing boots,12
78,flash drives,12
141,baby storage,12
98,trading card,12
235,tissue paper,12
49,hiking boots,12
248,baking flour,12
49,futsal shoes,12
49,safety boots,12
235,toilet paper,12
167,baby shampoo,12
248,baking syrup,12
155,baby beanies,12
251,bill payment,12
56,blusher tint,12
156,baby booties,12
247,white pepper,12
247,black pepper,12
84,gaming mouse,12
149,kids puzzles,12
151,musical toys,12
150,outdoor play,12
164,bottle brush,12
71,skin essence,12
240,cheese slice,12
164,cotton swabs,12
55,loose powder,12
147,stuffed toys,12
202,garden tools,12
68,sunblock gel,12
57,eyeliner pen,12
52,minyak wangi,12
246,green coffee,12
247,coarse sugar,12
236,camphor ball,12
50,ballet flats,12
169,vanity table,12
155,kids beanies,12
156,baby legging,12
94,toy vehicles,12
257,food steamer,12
44,diamond ring,12
257,multi cooker,12
178,garlic press,12
172,coffee table,12
158,kids watches,12
62,hair vitamin,12
245,yogurt drink,12
62,hair perfume,12
138,kids sweater,12
138,kids hoodies,12
138,baby sweater,12
228,pet clothing,12
138,baby hoodies,12
137,kids singlet,12
94,family games,12
163,baby monitor,12
153,baby mittens,12
170,dining table,12
156,kids legging,12
41,neck pendant,12
89,cooling fans,12
171,office chair,12
140,baby carrier,12
256,stand mixers,12
89,power supply,12
40,contact lens,12
59,make-up sets,12
169,clothes rack,12
170,kitchen rack,12
256,waffle maker,12
140,baby walkers,12
88,gaming chair,12
153,baby gloves,11
164,breast pump,11
153,kids gloves,11
200,power tools,11
194,table lamps,11
184,sofa covers,11
164,baby bottle,11
164,nursing bra,11
160,baby hanger,11
203,sticky note,11
200,screwdriver,11
188,clothes peg,11
138,baby romper,11
139,baby shirts,11
139,baby blouse,11
139,kids shirts,11
139,kids blouse,11
172,study table,11
191,plastic bag,11
192,floor lamps,11
192,lamp shades,11
206,watercolour,11
174,garbage bin,11
192,wall lights,11
193,light bulbs,11
141,sterilisers,11
131,watch tools,11
203,bubble wrap,11
200,paint brush,11
164,milk bottle,11
188,almari baju,11
146,kids crafts,11
150,sports toys,11
196,bath towels,11
230,decorations,11
210,lace fabric,11
238,dried fruit,11
237,canned fish,11
73,wound swabs,11
74,stethoscope,11
74,thermometer,11
237,dried prawn,11
253,spa voucher,11
44,silver ring,11
236,insect coil,11
43,waist chain,11
41,neck choker,11
256,hand mixers,11
39,cermin mata,11
78,card reader,11
257,rice cooker,11
81,printer ink,11
232,supplements,11
257,bread maker,11
232,dental care,11
59,facial tool,11
231,pet climber,11
259,kettle pots,11
230,water pumps,11
230,medications,11
259,thermo pots,11
230,circulation,11
237,canned meat,11
251,syabas bill,11
97,rubiks cube,11
48,espadrilles,11
60,hair curler,11
246,coffee bean,11
245,milk powder,11
56,cheek stain,11
62,styling wax,11
62,hair pomade,11
62,styling gel,11
62,dry shampoo,11
52,pen perfume,11
247,cooking oil,11
63,teeth floss,11
247,brown sugar,11
122,phone stand,11
247,white sugar,11
244,cashew nuts,11
51,socks shoes,11
241,plain water,11
66,razor blade,11
241,fruit juice,11
69,skin lotion,11
69,body lotion,11
247,coarse salt,11
248,baking soda,11
49,sport shoes,11
69,night cream,11
260,mesin jahit,11
58,eyelid tape,11
216,makeup bags,11
117,smart watch,11
102,bass guitar,11
23,baju kurung,11
22,diving suit,11
5,windbreaker,11
210,kain pasang,11
21,night dress,11
218,beg sekolah,11
6,denim pants,11
113,microphones,11
211,rice paddle,11
265,cctv camera,11
97,fidget toys,11
276,travel iron,11
214,drawstrings,11
107,fishing rod,11
107,rod fishing,11
20,bandage bra,11
224,pet shampoo,11
116,phone cable,11
23,baju kemeja,11
100,snooker cue,11
228,pet costume,11
261,humidifiers,11
27,baju melayu,11
262,ceiling fan,11
122,phone cover,11
98,card sleeve,11
262,kipas angin,11
210,silk fabric,11
212,long wallet,11
23,baju kebaya,11
164,breast pad,10
178,sharpeners,10
2,sweatshirt,10
164,botol susu,10
246,canned tea,10
54,fat burner,10
55,bb cushion,10
275,car vacuum,10
247,sugar cube,10
178,oven mitts,10
9,trackpants,10
178,can opener,10
279,tv antenna,10
9,sweatpants,10
246,tea powder,10
30,mini dress,10
15,panty-hose,10
43,suspenders,10
261,air cooler,10
172,tv cabinet,10
258,frying pan,10
174,iron board,10
36,innerscarf,10
189,book shelf,10
174,steam iron,10
37,safety hat,10
39,spectacles,10
39,sunglasses,10
22,rash guard,10
175,dish racks,10
267,chain lock,10
264,cooler bag,10
44,silver pin,10
251,astro bill,10
21,baju tidur,10
21,night gown,10
251,unifi bill,10
176,bed covers,10
192,ring light,10
46,flip flops,10
176,comforters,10
176,bed sheets,10
258,stock pots,10
280,wall mount,10
60,hair dryer,10
98,board game,10
100,pool table,10
136,baby pants,10
136,kids pants,10
225,pet litter,10
99,dart shaft,10
225,litter box,10
245,dairy milk,10
141,dispensers,10
230,live plant,10
231,pet feeder,10
93,controller,10
140,baby chair,10
79,3d printer,10
204,diary book,10
220,bucket bag,10
205,marker pen,10
218,laptop bag,10
218,school bag,10
133,vape tanks,10
212,zip wallet,10
108,basketball,10
108,skateboard,10
111,headphones,10
212,zip purses,10
211,rice scoop,10
211,rice spoon,10
128,engine oil,10
118,cell phone,10
118,smartphone,10
126,car mounts,10
122,phone case,10
78,thumbdrive,10
230,filtration,10
72,acne cream,10
237,dried fish,10
69,skin serum,10
70,body scrub,10
70,face scrub,10
71,face toner,10
69,hand cream,10
71,face serum,10
156,kids socks,10
243,chocolates,10
63,toothpaste,10
62,hair serum,10
159,kids shoes,10
237,dried meat,10
144,baby wipes,10
156,baby socks,10
62,hair spray,10
196,bath robes,10
245,malt drink,10
142,diaper bag,10
77,2-1 laptop,10
272,air fryer,9
213,tote bags,9
267,door lock,9
244,hazelnuts,9
272,microwave,9
236,pesticide,9
247,seasoning,9
206,oil paint,9
215,wristlets,9
182,wallpaper,9
247,dressings,9
246,green tea,9
244,mixed nut,9
278,plasma tv,9
213,jelly bag,9
200,diy tools,9
265,ip camera,9
218,backpacks,9
200,sandpaper,9
232,coat care,9
200,workbench,9
191,paper bag,9
230,air pumps,9
204,photobook,9
229,pet foods,9
227,wearables,9
189,rak kasut,9
262,stand fan,9
200,tools box,9
189,shoe rack,9
224,pet brush,9
221,briefcase,9
220,sling bag,9
236,repellant,9
219,suitcases,9
243,candy bar,9
218,rucksacks,9
244,chestnuts,9
143,oral care,9
61,lip liner,9
154,kids hats,9
96,nanoblock,9
61,lip stain,9
28,cheongsam,9
124,camcorder,9
49,toe shoes,9
14,shapewear,9
168,baby food,9
169,bed frame,9
49,wet shoes,9
116,powerbank,9
115,smart tag,9
114,usb light,9
78,pendrives,9
111,earphones,9
97,desk toys,9
127,car seats,9
154,kids caps,9
77,ultrabook,9
154,baby hats,9
141,baby bibs,9
141,pacifiers,9
11,bodysuits,9
11,jumpsuits,9
89,heatsinks,9
47,high-tops,9
60,hair comb,9
134,figurines,9
146,kids arts,9
29,button up,9
13,tank tops,9
61,lip gloss,9
133,vape mods,9
129,sport rim,9
154,baby caps,9
108,treadmill,9
45,plimsolls,9
99,dart tips,9
69,day cream,9
18,hot pants,9
177,chopstick,9
105,saxophone,9
72,face mask,9
100,pool ball,9
71,face mist,9
65,adult toy,9
63,mouthwash,9
65,lubricant,9
39,eye patch,9
20,sport bra,9
52,fragrance,9
38,ear cuffs,9
37,miner hat,9
52,deodorant,9
12,playsuits,9
44,gold ring,9
74,nebulizer,9
36,balaclava,9
62,hair mask,9
119,e-reader,8
26,anarkali,8
36,ski mask,8
230,lighting,8
35,pashmina,8
224,clippers,8
231,pet mats,8
105,clarinet,8
138,baby cot,8
101,magazine,8
109,yoga mat,8
61,lipstick,8
141,teethers,8
22,swimsuit,8
108,football,8
55,bb cream,8
262,wall fan,8
203,stickers,8
98,deck box,8
15,stocking,8
13,camisole,8
258,skillets,8
215,clutches,8
209,scissors,8
105,trombone,8
125,shutters,8
65,vibrator,8
214,rucksack,8
128,coolants,8
100,pool cue,8
226,pee pads,8
114,mini fan,8
129,steering,8
129,body kit,8
247,sea salt,8
243,brownies,8
231,aquarium,8
174,spin mop,8
62,hair oil,8
164,bengkung,8
8,trousers,8
169,wardrobe,8
169,cupboard,8
232,skincare,8
276,dry iron,8
45,sneakers,8
5,raincoat,8
172,sofa bed,8
77,notebook,8
4,cardigan,8
174,sweepers,8
44,gold pin,8
45,low tops,8
76,mini pcs,8
72,scar gel,8
72,acne gel,8
72,lip mask,8
72,eye mask,8
185,curtains,8
184,cushions,8
33,crop top,8
278,smart tv,8
182,wall art,8
41,necklace,8
243,biscuits,8
178,colander,8
10,leggings,8
25,telekung,8
35,headband,8
61,lip tint,8
145,bath tub,8
232,eye care,8
250,sim card,8
232,ear care,8
47,platform,8
232,vitamins,8
86,keyboard,8
85,mousepad,8
251,tnb bill,8
152,playmats,8
234,softener,8
157,baby bag,8
161,mattress,8
161,bolsters,8
157,kids bag,8
161,baby bed,8
91,macbooks,8
93,joystick,8
161,blankets,8
242,cereals,7
52,perfume,7
239,jellies,7
61,lipbalm,7
243,cookies,7
69,oinment,7
231,pet bed,7
224,blowers,7
65,sex toy,7
25,sejadah,7
178,spatula,7
34,bonnets,7
52,cologne,7
56,shading,7
239,spreads,7
98,mahjong,7
226,feeders,7
29,t-shirt,7
83,routers,7
227,leashes,7
227,collars,7
58,falsies,7
77,netbook,7
97,kendama,7
55,blusher,7
230,heating,7
58,mascara,7
230,filters,7
80,scanner,7
79,printer,7
119,tablets,7
200,scraper,7
142,potties,7
192,sconces,7
162,playpen,7
9,joggers,7
161,pillows,7
46,sandals,7
46,slipper,7
200,ratchet,7
46,selipar,7
256,juicers,7
273,cooktop,7
150,rc cars,7
200,hacksaw,7
102,ukulele,7
178,cutters,7
142,pampers,7
45,slip on,7
2,hoodies,7
7,palazzo,7
186,candles,7
182,mirrors,7
278,qled tv,7
2,sweater,7
278,oled tv,7
42,necktie,7
185,langsir,7
187,balloon,7
177,cutlery,7
42,bow tie,7
180,watches,7
39,glasses,7
189,shelves,7
174,dustbin,7
190,baskets,7
11,overall,7
142,diapers,7
110,barbell,7
204,diaries,7
108,scooter,7
107,pancing,7
106,dvd-ram,7
106,dvd-rom,7
35,scarves,7
106,blu-ray,7
16,panties,7
217,handbag,7
105,trumpet,7
105,piccolo,7
219,duffels,7
258,griddle,7
267,padlock,7
20,push-up,7
21,pyjamas,7
110,dumbell,7
181,carpets,7
111,headset,7
114,usb fan,7
204,planner,7
141,warmers,7
204,notepad,7
13,singlet,7
178,lighter,7
134,accents,7
134,statues,7
133,e-juice,7
38,earring,7
270,freezer,7
48,loafers,7
35,bandana,7
125,monopod,7
49,swimfin,7
243,sweets,6
34,visors,6
39,shades,6
247,sauces,6
44,brooch,6
44,cincin,6
36,beanie,6
244,walnut,6
35,tudung,6
47,wedges,6
257,periuk,6
48,oxford,6
48,brogue,6
247,spices,6
178,shears,6
219,covers,6
243,scones,6
0,jacket,6
200,wrench,6
200,pliers,6
200,drills,6
10,tights,6
200,mallet,6
200,chisel,6
201,screws,6
161,bandal,6
201,washer,6
205,pencil,6
134,charms,6
270,fridge,6
125,lenses,6
125,tripod,6
200,hammer,6
169,drawer,6
119,e-book,6
181,karpet,6
178,grater,6
279,tv box,6
1,blazer,6
178,peeler,6
178,knives,6
180,clocks,6
185,blinds,6
174,brooms,6
278,led tv,6
177,spoons,6
278,lcd tv,6
278,crt tv,6
176,quilts,6
189,almari,6
33,peplum,6
123,drones,6
118,iphone,6
96,gundam,6
65,condom,6
65,kondom,6
67,tampon,6
33,blouse,6
77,laptop,6
32,skorts,6
83,modems,6
233,kennel,6
90,webcam,6
93,vr box,6
95,record,6
96,puzzle,6
14,corset,6
37,helmet,6
229,treats,6
108,racket,6
106,dvd-rw,6
224,towels,6
102,guitar,6
102,violin,6
20,bikini,6
18,shorts,6
19,trunks,6
278,4k tv,5
35,shawl,5
35,hijab,5
17,brief,5
30,dress,5
31,skirt,5
29,shirt,5
19,boxer,5
29,kurta,5
6,jeans,5
26,saree,5
8,pants,5
95,album,5
43,belts,5
104,bongo,5
170,chair,5
97,slime,5
101,novel,5
102,cello,5
161,katil,5
102,viola,5
103,piano,5
103,organ,5
200,level,5
105,flute,5
172,table,5
45,shoes,5
201,nails,5
216,pouch,5
106,dvd-r,5
112,hi-fi,5
119,ipads,5
201,bolts,5
208,ruler,5
129,wiper,5
203,tapes,5
230,hoods,5
243,cakes,5
65,dildo,5
47,boots,5
47,heels,5
248,yeast,5
49,spike,5
50,flats,5
51,socks,5
52,spray,5
178,tongs,5
178,ladle,5
179,whisk,5
205,chalk,5
176,cadar,5
177,plate,5
239,honey,5
189,racks,5
177,forks,5
84,mouse,5
177,bowl,4
3,vest,4
172,sofa,4
170,sink,4
272,oven,4
195,mats,4
181,rugs,4
200,vice,4
177,cups,4
172,meja,4
174,mops,4
219,tags,4
0,coat,4
34,hats,4
236,pest,4
30,gown,4
84,mice,4
29,baju,4
29,polo,4
124,dslr,4
231,cage,4
96,lego,4
96,tico,4
34,caps,4
97,yoyo,4
102,harp,4
104,drum,4
105,tuba,4
52,mist,4
242,oats,4
177,mug,3
52,edp,3
52,edt,3
205,pen,3
239,jam,3
96,loz,3
169,bed,3
200,saw,3
106,dvd,3
89,ram,3
106,cd,2
